feature_set,representation,clustering_method,n_subjects,n_features_original,n_components_after_pca,pca_explained_variance_sum,cluster_0_size,cluster_1_size,smaller_cluster_size,smaller_cluster_ratio,silhouette,calinski_harabasz,davies_bouldin,stability_ari_mean,stability_ari_std,stability_n_runs,recommended_flag,exclusion_or_warning,selection_score
top20_biomarkers,scaled_only,KMeans,188,20,20,,62,126,62,0.32978723404255317,0.2950382985411368,78.46931697467944,1.3274179954908145,0.9818042818228738,0.030441623022696915,50,False,,0.8776023344054709
top20_biomarkers,scaled_only,GaussianMixture,188,20,20,,106,82,82,0.43617021276595747,0.19083954639399167,50.360350855722395,1.7520878658332342,0.7700164973961424,0.2826617727689493,50,False,,0.6016185132708985
top20_biomarkers,scaled_only,AgglomerativeClustering,188,20,20,,133,55,55,0.2925531914893617,0.29720611869898494,74.9373970652086,1.3022958137887433,0.9099091366886778,0.061457162082155875,50,False,,0.8218292744265936
top20_biomarkers,pca_5,KMeans,188,20,5,0.7966532283202867,62,126,62,0.32978723404255317,0.3673910342745844,109.90504105016983,1.0711434682571164,0.9854423153756073,0.021089161106297823,50,True,,1.0221063018602548
top20_biomarkers,pca_5,GaussianMixture,188,20,5,0.7966532283202867,143,45,45,0.2393617021276596,0.23238448383169463,30.058392469095935,2.1575786039840352,0.4833923152181297,0.43678203061892995,50,False,,0.3420926145057355
top20_biomarkers,pca_5,AgglomerativeClustering,188,20,5,0.7966532283202867,135,53,53,0.28191489361702127,0.3712710426237738,104.73165632654545,1.034259781871756,0.8616052598458205,0.07071448237661944,50,False,,0.9320133149113824
top20_biomarkers,pca_10,KMeans,188,20,10,0.9297288849745412,62,126,62,0.32978723404255317,0.3164208647185277,87.12644652990085,1.2437304873382866,0.9823413906363632,0.03052252339078761,50,False,,0.9196212717118488
top20_biomarkers,pca_10,GaussianMixture,188,20,10,0.9297288849745412,136,52,52,0.2765957446808511,0.17916542296758617,38.45211363921455,1.8397895030125135,0.5013998314828411,0.3295382482238599,50,False,,0.3549744137083242
top20_biomarkers,pca_10,AgglomerativeClustering,188,20,10,0.9297288849745412,134,54,54,0.2872340425531915,0.3186844381277039,82.54033119190674,1.2164596552404388,0.9035462565561945,0.07558092116479963,50,False,,0.8566595176408285
top50_biomarkers,pca_10,KMeans,188,50,10,0.8511492928436548,97,91,91,0.48404255319148937,0.25810629935758517,70.08342179144168,1.4359939735138805,0.9195459847329077,0.06148593524639254,50,False,,0.7886130681125266
top50_biomarkers,pca_10,GaussianMixture,188,50,10,0.8511492928436548,100,88,88,0.46808510638297873,0.22584876337448104,58.20639546870237,1.5884119662724747,0.7518048976158234,0.26428854025429616,50,False,,0.6203976644685442
top50_biomarkers,pca_10,AgglomerativeClustering,188,50,10,0.8511492928436548,138,50,50,0.26595744680851063,0.2611547587424284,57.87190151251811,1.3176953913973946,0.7247953319061482,0.2709428886686472,50,False,,0.5996402576847463
top50_biomarkers,pca_90,KMeans,188,50,14,0.9070843333125741,94,94,94,0.5,0.24105527240508043,64.33970740308692,1.5189886998463196,0.9218753120039217,0.0910927821129578,50,False,,0.7620640914288827
top50_biomarkers,pca_90,GaussianMixture,188,50,14,0.9070843333125741,98,90,90,0.4787234042553192,0.20884618912340658,53.24390347379636,1.6764255565534256,0.7175814578378004,0.28721171193009126,50,False,,0.5713185263562743
top50_biomarkers,pca_90,AgglomerativeClustering,188,50,14,0.9070843333125741,135,53,53,0.28191489361702127,0.24090962479321842,54.32222193231244,1.4149037207940627,0.8634333644025741,0.09611050061435569,50,False,,0.6539382918599781
all_acoustic,pca_20,KMeans,188,752,20,0.7114864385429738,95,93,93,0.4946808510638298,0.16567022748673324,31.57439769811144,2.118879804615332,0.9498938306402565,0.05425936036979757,50,False,,0.5403081809308656
all_acoustic,pca_20,GaussianMixture,188,752,20,0.7114864385429738,90,98,90,0.4787234042553192,0.1551444581314282,29.712292508741015,2.179705394173032,0.6713978768157538,0.35398340921835614,50,False,,0.3508649098291067
all_acoustic,pca_20,AgglomerativeClustering,188,752,20,0.7114864385429738,105,83,83,0.44148936170212766,0.15047845444891195,27.184804698644058,2.270123723014436,0.6854627753262064,0.19586502834722266,50,False,,0.3317466833456318
all_acoustic,pca_90,KMeans,188,752,63,0.9000670383580756,95,93,93,0.4946808510638298,0.123858783659135,24.17126725834889,2.509257322063933,0.9510249812937182,0.056814568247874744,50,False,,0.4557404156202749
all_acoustic,pca_90,GaussianMixture,188,752,63,0.9000670383580756,93,95,93,0.4946808510638298,0.12341590661644465,24.080125230528697,2.513741882533418,0.6425777381007052,0.40716547005357295,50,False,,0.2704737443333747
all_acoustic,pca_90,AgglomerativeClustering,188,752,63,0.9000670383580756,98,90,90,0.4787234042553192,0.10640889538973558,19.27444662527525,2.7808791114233373,0.6412586311604409,0.15007204263850443,50,False,,0.21795004541331128
