model,fold,n_splits,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,multiclass_roc_auc_ovr
Multinomial Logistic Regression,1,5,0.9473684210526315,0.961038961038961,0.958409645909646,0.9490191825718141,0.9629629629629629,0.961038961038961,1.0
Multinomial Logistic Regression,2,5,0.8421052631578947,0.814935064935065,0.8283730158730158,0.8391290726817043,0.8748677248677249,0.814935064935065,0.9655567451266376
Multinomial Logistic Regression,3,5,0.8421052631578947,0.8665223665223665,0.8582611832611833,0.8449305080884029,0.8888888888888888,0.8665223665223665,0.9857009030396128
Multinomial Logistic Regression,4,5,0.918918918918919,0.9419191919191919,0.9321969696969696,0.9195945945945946,0.9351851851851851,0.9419191919191919,0.992447516641065
Multinomial Logistic Regression,5,5,0.8378378378378378,0.8443722943722944,0.8443722943722944,0.8300573300573301,0.8766178266178266,0.8443722943722944,0.9783801771704997
Multinomial Logistic Regression,mean,5,0.8776671408250355,0.8857575757575757,0.8843226218226217,0.8765461375987693,0.9077045177045177,0.8857575757575757,0.984417068395563
Multinomial Logistic Regression,std,5,0.0462074568097926,0.05642690303150605,0.05135450510259362,0.04830384229097302,0.03523449466592909,0.05642690303150605,0.011841620980905658
SVM-RBF,1,5,0.9210526315789473,0.8777056277056277,0.8900335775335776,0.9193295739348372,0.9391534391534392,0.8777056277056277,0.9938556067588326
SVM-RBF,2,5,0.8157894736842105,0.7997835497835498,0.8102707749766572,0.8131062951496388,0.8600529100529101,0.7997835497835498,0.9883318592996013
SVM-RBF,3,5,0.8421052631578947,0.8308080808080808,0.8312354312354313,0.8407557354925776,0.8456890331890333,0.8308080808080808,0.9814636944845279
SVM-RBF,4,5,0.972972972972973,0.9848484848484849,0.976911976911977,0.9735579735579736,0.9722222222222222,0.9848484848484849,0.9967511655011655
SVM-RBF,5,5,0.8648648648648649,0.8656565656565657,0.8616161616161616,0.8625716625716626,0.8773148148148149,0.8656565656565657,0.9944201631701631
SVM-RBF,mean,5,0.8833570412517782,0.8717604617604617,0.874013584454761,0.8818642481413379,0.8988864838864838,0.8717604617604617,0.9909644978428581
SVM-RBF,std,5,0.05667630672300581,0.0628001224124938,0.05812319948967345,0.05762145379519618,0.048585821651283764,0.0628001224124938,0.005495119768652295
Random Forest,1,5,0.868421052631579,0.8347763347763348,0.8458874458874459,0.8656641604010025,0.8930555555555556,0.8347763347763348,0.9924682775657238
Random Forest,2,5,0.8947368421052632,0.9007936507936508,0.8961627140974967,0.887832847930102,0.9212962962962963,0.9007936507936508,0.9711927260314357
Random Forest,3,5,0.8157894736842105,0.8014430014430013,0.8099567099567099,0.8133287764866712,0.8375541125541125,0.8014430014430013,0.9778165519764981
Random Forest,4,5,0.8918918918918919,0.8681818181818182,0.8812911725955205,0.890951821386604,0.9111111111111111,0.8681818181818182,0.9831003482865438
Random Forest,5,5,0.918918918918919,0.9277056277056278,0.9235431235431236,0.9191079191079191,0.9237373737373739,0.9277056277056278,0.9965402652902653
Random Forest,mean,5,0.8779516358463727,0.8665800865800865,0.8713682332160593,0.8753771050624598,0.8973508898508898,0.8665800865800865,0.9842236338300934
Random Forest,std,5,0.03495528169305269,0.04508610381738577,0.039638607192153605,0.03536788879502557,0.03179017830288688,0.04508610381738577,0.009292906834799336
