stage5_cluster,stage6_cluster,count,row_percentage,column_percentage,adjusted_rand_index_stage5_vs_stage6,normalized_mutual_info_stage5_vs_stage6,collapsed_stage6_to_stage5_majority_ari
0,0,0,0.0,0.0,0.23625706593914234,0.40888240555930533,0.812834636854361
0,1,5,0.08064516129032258,0.09090909090909091,0.23625706593914234,0.40888240555930533,0.812834636854361
0,2,4,0.06451612903225806,0.11764705882352941,0.23625706593914234,0.40888240555930533,0.812834636854361
0,3,28,0.45161290322580644,1.0,0.23625706593914234,0.40888240555930533,0.812834636854361
0,4,25,0.4032258064516129,1.0,0.23625706593914234,0.40888240555930533,0.812834636854361
0,5,0,0.0,0.0,0.23625706593914234,0.40888240555930533,0.812834636854361
1,0,13,0.10317460317460317,1.0,0.23625706593914234,0.40888240555930533,0.812834636854361
1,1,50,0.3968253968253968,0.9090909090909091,0.23625706593914234,0.40888240555930533,0.812834636854361
1,2,30,0.23809523809523808,0.8823529411764706,0.23625706593914234,0.40888240555930533,0.812834636854361
1,3,0,0.0,0.0,0.23625706593914234,0.40888240555930533,0.812834636854361
1,4,0,0.0,0.0,0.23625706593914234,0.40888240555930533,0.812834636854361
1,5,33,0.2619047619047619,1.0,0.23625706593914234,0.40888240555930533,0.812834636854361
